map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
062_601,1677421.580618,0.013200,0.494300,0.019200,7,0.500000,6.731600,0.480800,8,0.013500,0.007700,-0.002700,-0.001800,-0.000500,-0.001900,-0.001200,-0.458800,-0.015800,-0.016100,0.000300,-0.007100,4.778200,0.341300,3.823500,4.778200,0.341300,3.352800,0.556600,0.589600,0.761300,5,7.598200,5,0.470900,0.270900,1.319000,2.208600,93,46,58,66,6
063_602,1737433.679970,0.011700,0.494300,0.008300,7,0.500000,6.884400,0.491700,7,0.002500,-0.003200,-0.009000,-0.008100,-0.002900,-0.008100,-0.002300,-1.867700,-0.009500,-0.011000,0.001500,-0.011700,3.675400,0.262500,3.020700,3.675400,0.262500,1.444600,0.580200,0.594700,0.715200,5,8.315300,5,0.464400,0.300700,1.302000,2.137400,99,35,57,68,9
064_604,1604837.367575,0.009700,0.494300,0.059400,7,0.500000,6.168300,0.440600,6,0.053700,0.048000,0.035300,0.035000,0.008000,0.034700,0.009900,4.099000,-0.000100,-0.001100,0.001000,0.002800,5.532800,0.395200,4.211000,5.532800,0.395200,10.389400,0.577800,0.570100,0.000000,5,7.764300,5,0.443000,0.305800,1.278800,2.043400,73,53,50,64,12
066_606,1759087.159770,0.037500,0.494300,-0.018600,7,0.500000,7.260300,0.518600,8,-0.024300,-0.030000,-0.032800,-0.031800,-0.013000,-0.031700,-0.010000,-5.646600,-0.018600,-0.020200,0.001600,-0.021200,2.912300,0.208000,2.492100,2.912300,0.208000,-3.251600,0.572400,0.613700,0.738200,5,7.583300,5,0.435800,0.269300,1.317200,2.151400,91,28,58,58,7
067_607,1642860.535246,0.006700,0.494300,0.080700,7,0.500000,5.870200,0.419300,5,0.075000,0.069300,0.058200,0.057200,0.013100,0.056800,0.017200,7.750700,0.005700,0.005500,0.000300,0.012100,5.240900,0.374300,3.935800,5.240900,0.374300,14.112800,0.602000,0.566000,0.000000,5,6.840500,5,0.448500,0.279100,1.274900,2.117500,63,50,50,62,13
068_609,1760381.531372,0.014500,0.494300,-0.002400,7,0.500000,7.034300,0.502400,8,-0.008200,-0.013900,-0.020300,-0.018900,-0.006500,-0.018900,-0.004700,-3.103700,-0.018400,-0.019300,0.000900,-0.014100,3.705000,0.264600,3.114200,3.705000,0.264600,-0.428400,0.565400,0.602700,0.730100,5,6.849200,5,0.449100,0.274300,1.320500,2.137600,99,35,58,62,6
069_610,1701335.785899,0.006400,0.494300,0.062300,7,0.500000,6.127600,0.437700,6,0.056600,0.050900,0.044000,0.043200,0.012000,0.042700,0.013000,6.197000,0.020900,0.019400,0.001500,0.007900,4.078400,0.291300,3.200000,4.078400,0.291300,10.897000,0.602000,0.589100,0.000000,5,8.485300,5,0.457500,0.264400,1.313100,2.185800,72,39,50,62,8
071_612,1534942.174012,0.020900,0.494300,0.023500,7,0.500000,6.670600,0.476500,7,0.017800,0.012100,0.000100,0.000100,0.000000,-0.000300,0.004100,0.007600,-0.008400,-0.008500,0.000100,-0.005800,5.223400,0.373100,4.094200,5.223400,0.373100,4.114500,0.561600,0.573200,0.000000,5,8.256700,5,0.441500,0.276600,1.334300,2.152400,91,50,50,60,4
072_614,1841298.151488,0.008900,0.494300,0.031300,7,0.500000,6.562300,0.468700,7,0.025500,0.019800,0.011100,0.011400,0.003200,0.011200,0.005100,1.083800,0.004600,0.003600,0.001000,-0.004200,4.424900,0.316100,3.533500,4.424900,0.316100,5.467500,0.573300,0.586800,0.702100,5,7.742200,5,0.420500,0.273400,1.325600,2.210100,87,42,57,56,6
073_615,1693376.832443,0.012600,0.494300,0.099300,7,0.500000,5.610300,0.400700,5,0.093500,0.087800,0.077900,0.076100,0.016600,0.075300,0.019900,9.950400,0.021100,0.020200,0.001000,0.016300,4.899400,0.350000,3.734300,4.899400,0.350000,17.358900,0.601800,0.567000,0.724300,5,7.481100,5,0.449300,0.282300,1.312000,2.200300,53,47,57,63,8
